codigo;nombre;codigo_padre;email_aprobador;rol_aprobador;seleccionable_en_contabilizacion;activo;orden
11Y0105;SERVICIO DE AGUA;11Y0100;;GERENCIA_VENTAS;true;true;5
11Y0106;SERVICIO DE ELECTRICIDAD;11Y0100;;GERENCIA_VENTAS;true;true;6
11Y0107;SERVICIO DE TELÉFONO;11Y0100;;GERENCIA_VENTAS;true;true;7
11Y0108;SUMINISTROS DE OFICINA;11Y0100;;GERENCIA_VENTAS;true;true;8
11Y0109;ARTÍCULOS DE LIMPIEZA;11Y0100;;GERENCIA_VENTAS;true;true;9
11Y0110;MEMBRESÍAS;11Y0100;;GERENCIA_VENTAS;true;true;10
11Y0111;MANT. Y REP. DE VEHÍCULOS;11Y0100;;GERENCIA_VENTAS;true;true;11
11Y0112;MANT. Y REP. DE MOBILIARIO Y EQUIPO;11Y0100;;GERENCIA_VENTAS;true;true;12
11Y0113;FLETES Y ACARREOS;11Y0100;;GERENCIA_VENTAS;true;true;13
11Y0114;ALQUILER DE VEHÍCULO;11Y0100;;GERENCIA_VENTAS;true;true;14
11Y0115;PÓLIZA DE RIESGOS DE TRABAJO;11Y0100;;GERENCIA_VENTAS;true;true;15
11Y0116;PÓLIZA DE INCENDIO;11Y0100;;GERENCIA_VENTAS;true;true;16
11Y0117;COURIER;11Y0100;;GERENCIA_VENTAS;true;true;17
11Y0118;GASTOS DE REPRESENTACIÓN;11Y0100;;GERENCIA_VENTAS;true;true;18
11Y0119;TRANSPORTES;11Y0100;;GERENCIA_VENTAS;true;true;19
11Y0120;Servicios Dirección y Control de Proyecto;11Y0100;;GERENCIA_VENTAS;true;true;20
11Y0121;IVA SERV. ADM Y DIR. PROYECTO;11Y0100;;GERENCIA_VENTAS;true;true;21
11Y0125;OTROS GASTOS DE ADMINISTRACIÓN Y DIRECCIÓN PROYECTO;11Y0100;;GERENCIA_VENTAS;true;true;22
11Y0200;GASTOS MUNICIPALES & GOBIERNO;11Y0000;;GERENCIA_VENTAS;false;true;2
11Y0201;PATENTE MUNICIPAL;11Y0200;;GERENCIA_VENTAS;true;true;1
11Y0202;IMPUESTOS MUNICIPALES;11Y0200;;GERENCIA_VENTAS;true;true;2
11Y0205;IMPUESTO SOCIEDAD Y NO DEDUCIBLES;11Y0200;;GERENCIA_VENTAS;true;true;3
11Y0225;OTROS COSTOS MUNICIPALES Y GOBIERNO;11Y0200;;GERENCIA_VENTAS;true;true;4
11Y0300;GASTOS SERVICIOS PROFESIONALES;11Y0000;;GERENCIA_VENTAS;false;true;3
11Y0301;AUDITORÍA Y SOPORTE FISCAL;11Y0300;;GERENCIA_VENTAS;true;true;1
11Y0302;FIDUCIARIOS;11Y0300;;GERENCIA_VENTAS;true;true;2
11Y0303;SERVICIOS CONTABLES;11Y0300;;GERENCIA_VENTAS;true;true;3
11Y0304;SERVICIOS LEGALES;11Y0300;;GERENCIA_VENTAS;true;true;4
11Y0305;OTROS SERVICIOS PROFESIONALES;11Y0300;;GERENCIA_VENTAS;true;true;5
11Y0400;GASTOS MANTENIMIENTO;11Y0000;;GERENCIA_VENTAS;false;true;4
11Y0401;SERVICIOS DE MANTENIMIENTO;11Y0400;;GERENCIA_VENTAS;true;true;1
11Y0402;SERVICIOS DE LIMPIEZA;11Y0400;;GERENCIA_VENTAS;true;true;2
11Y0403;SERVICIOS DE RECEPCIÓN;11Y0400;;GERENCIA_VENTAS;true;true;3
11Y0404;SERVICIOS DE MENSAJERÍA;11Y0400;;GERENCIA_VENTAS;true;true;4
11Y0405;SUMINISTROS DE OFICINA;11Y0400;;GERENCIA_VENTAS;true;true;5
11Y0406;MANT. Y REP. DE VEHÍCULOS;11Y0400;;GERENCIA_VENTAS;true;true;6
11Y0407;MANT. Y REP. DE MOBILIARIO Y EQUIPO;11Y0400;;GERENCIA_VENTAS;true;true;7
11Y0408;MANT. Y REP. DE EDIFICIOS;11Y0400;;GERENCIA_VENTAS;true;true;8
11Y0409;MANT. Y REP. DE PRODUCTOS;11Y0400;;GERENCIA_VENTAS;true;true;9
11Y0425;OTROS GASTOS MANTENIMIENTO;11Y0400;;GERENCIA_VENTAS;true;true;10
11Y0515;MATERIALES PUBLICIDAD;11Y0700;;GERENCIA_MERCADEO;true;true;1
11Y0600;GASTOS FINANCIEROS Y OTROS DIVERSOS;11Y0000;;GERENCIA_VENTAS;false;true;5
11Y0601;INTERESES PAGADOS;11Y0600;;GERENCIA_VENTAS;true;true;1
11Y0602;COMISIONES BANCARIAS;11Y0600;;GERENCIA_VENTAS;true;true;2
11Y0603;DIFERENCIAS POR CONCILIACIÓN;11Y0600;;GERENCIA_VENTAS;true;true;3
11Y0604;AJUSTES POR REDONDEO;11Y0600;;GERENCIA_VENTAS;true;true;4
11Y0605;AJUSTES A PERÍODOS ANTERIORES;11Y0600;;GERENCIA_VENTAS;true;true;5
11Y0606;DONACIONES NO DEDUCIBLES;11Y0600;;GERENCIA_VENTAS;true;true;6
11Y0607;IMPUESTOS NO DEDUCIBLES;11Y0600;;GERENCIA_VENTAS;true;true;7
11Y0625;OTROS GASTOS;11Y0600;;GERENCIA_VENTAS;true;true;8
11Y0650;EFECTO DIFERENCIAL CAMBIO EN CONVERSIÓN MONEDA;11Y0600;;GERENCIA_VENTAS;true;true;9
11Y0700;GASTOS MERCADEO;11Y0000;;GERENCIA_MERCADEO;false;true;6
11Y0701;EXPOS;11Y0700;;GERENCIA_MERCADEO;true;true;2
11Y0702;MEDIOS IMPRESOS;11Y0700;;GERENCIA_MERCADEO;true;true;3
11Y0703;MEDIOS DIGITALES;11Y0700;;GERENCIA_MERCADEO;true;true;4
11Y0704;MEDIOS EXTERIORES;11Y0700;;GERENCIA_MERCADEO;true;true;5
11Y0705;PRODUCCIÓN DIGITAL;11Y0700;;GERENCIA_MERCADEO;true;true;6
11Y0706;FERIAS;11Y0700;;GERENCIA_MERCADEO;true;true;7
11Y0707;STANDS;11Y0700;;GERENCIA_MERCADEO;true;true;8
