Descripción;Descripción;Descripción;Descripción;Descripción
11 - ECO MORAVIA PRESUPUESTO INGENIERÍA;11 - ECO MORAVIA;11 - ECO MORAVIA PRESUPEUSTO INMOBILIARIA;ECO MORAVIA PRESUPUESTO MERCADEO;ECO MORAVIA PRESUPUESTO VENTAS
1163200 - FINANCIEROS ETAPA 6;1163200 - FINANCIEROS ETAPA 6;;;
1170000 - COSTOS DIRECTOS DE OBRA ETAPA 7;1170000 - COSTOS DIRECTOS DE OBRA ETAPA 7;;;
1170100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 7;1170100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 7;;;
1173200 - FINANCIEROS ETAPA 7;1173200 - FINANCIEROS ETAPA 7;;;
1180000 - COSTOS DIRECTOS DE OBRA ETAPA 8;1180000 - COSTOS DIRECTOS DE OBRA ETAPA 8;;;
1180100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 8;1180100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 8;;;
1183200 - FINANCIEROS ETAPA 8;1183200 - FINANCIEROS ETAPA 8;;;
1190000 - COSTOS DIRECTOS DE OBRA ETAPA 9;1190000 - COSTOS DIRECTOS DE OBRA ETAPA 9;;;
1190100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 9;1190100 - COSTOS OBRA CIVIL Y ACABADOS ETAPA 9;;;
1193200 - FINANCIEROS ETAPA 9;1193200 - FINANCIEROS ETAPA 9;;;
;11A0000 - CASAS SECCIÓN A PRIMERA ETAPA;;;
;11B0000 - CASAS SECCIÓN B SEGUNDA ETAPA OLD;;;
;11C0000 - CASAS SECCIÓN C TERCERA ETAPA;;;
;11D0000 - CASAS SECCIÓN D CUARTA ETAPA;;;
;11E0000 - CASAS SECCIÓN E QUINTA ETAPA;;;
;11F0000 - CASAS SECCIÓN F SEXTA ETAPA;;;
;11G0000 - CASAS SECCIÓN G SÉTIMA ETAPA;;;
;11H0000 - CASAS SECCIÓN H OCTAVA ETAPA;;;
;11I0000 - CASAS SECCIÓN I NOVENA ETAPA;;;
;11Y0000 - GASTOS  DE OPERACIÓN PROYECTO;;;
;11Y0100 - GASTOS ADMINISTRACIÓN Y DIRECCIÓN PROYECTO;;;
;11Y0200 - GASTOS  MUNICIPALES & GOBIERNO;;;
;11Y0300 - GASTOS SERVICIOS PROFESIONES;;;
;11Y0400 - GASTOS MANTENIMIENTO;;;
;11Y0600 - GASTOS FINANCIEROS Y OTROS DIVERSOS;;;
;11Y0700 - GASTOS MERCADEO;;;
;12Y0700 - GASTOS MERCADEO;;;
;11Y0800 - GASTOS VENTAS;;;
;11Y9900 - GASTOS DIVERSOS ADMINSTRACIÓN;;;
